site_name,month,date.on.trap,date.off.trap,n_days,precipitation_accumulation_mm,max_relative_humidity_mean,min_relative_humidity_mean,surface_downwelling_shortwave_flux_in_air_mean,specific_humidity_mean,max_air_temperature_mean_K,min_air_temperature_mean_K,mean_vapor_pressure_deficit_mean_kPa,wind_speed_ms_mean
ABUCR,2022-11-01,2022-11-10,2022-11-16,7,0.0,46.642857142857146,14.642857142857144,166.41428571428574,0.0029500000000000004,281.5571428571429,294.85714285714283,1.3900000000000001,2.942857142857143
ABUCR,2022-12-01,2022-11-30,2022-12-07,8,0.0,85.4625,35.525000000000006,124.0875,0.00582125,280.875,293.85,0.8325,2.9625000000000004
ABUCR,2023-02-01,2023-02-01,2023-02-09,9,0.0,61.12222222222223,17.922222222222224,186.60000000000002,0.0031488888888888894,277.5444444444445,293.4777777777778,1.1277777777777778,2.7777777777777777
ABUCR,2023-03-01,2023-03-03,2023-03-09,7,0.0,75.57142857142857,27.371428571428574,221.54285714285717,0.004322857142857143,278.85714285714283,293.85714285714283,1.0114285714285713,3.2142857142857144
ABUCR,2023-04-01,2023-04-05,2023-04-12,8,0.0,58.05,15.350000000000001,287.6375,0.00477125,283.5625,302.4875,2.015,2.5
ABUCR,2023-05-01,2023-05-01,2023-05-10,10,0.0,74.16,26.72,308.98,0.006162000000000001,284.33,300.13,1.5050000000000001,4.55
ABUCR,2023-06-01,2023-06-09,2023-06-16,8,0.0,74.22500000000001,26.6625,315.32500000000005,0.00945375,291.025,307.4,2.27875,4.575
ABUCR,2023-07-01,2023-07-12,2023-07-19,8,0.0,47.175000000000004,13.412500000000001,313.83750000000003,0.00955625,298.725,318.1375,4.97625,3.35
ABUCR,2023-08-01,2023-08-02,2023-08-09,8,0.0,41.2625,11.55,297.38750000000005,0.006772500000000001,295.425,314.6625,4.3325000000000005,3.5875000000000004
ABUCR,2023-09-01,2023-09-06,2023-09-13,8,0.0,53.925000000000004,17.475,236.3375,0.008682500000000001,295.4375,312.0125,3.515,3.7
ABUCR,2023-10-01,2023-10-11,2023-10-18,8,0.0,52.862500000000004,12.100000000000001,206.82500000000002,0.00496375,287.2375,306.825,2.6875,1.8750000000000002
ABUCR,2023-11-01,2023-11-10,2023-11-14,5,0.0,35.24,7.1,162.52,0.0025060000000000004,283.64,300.26,2.0460000000000003,2.02
