Site ,Month_Year,Days_on_Trap
ABUCR,Nov-22,7
ABUCR,Dec-22,8
ABUCR,Feb-23,9
ABUCR,Mar-23,7
ABUCR,Apr-23,8
ABUCR,May-23,10
ABUCR,Jun-23,8
ABUCR,Jul-23,8
ABUCR,Aug-23,8
ABUCR,Sep-23,8
ABUCR,Oct-23,8
ABUCR,Nov-23,5
LRVP,Aug-22,8
LRVP,Sep-22,8
LRVP,Oct-22,9
LRVP,Nov-22,7
LRVP,Dec-22,8
LRVP,Feb-23,9
LRVP,Mar-23,7
LRVP,Apr-23,8
LRVP,May-23,10
LRVP,Jun-23,8
LRVP,Jul-23,8
LRVP,Aug-23,8
LRVP,Sep-23,5
LRVP,Oct-23,8
PSP,Feb-23,9
PSP,Mar-23,7
PSP,Apr-23,8
PSP,May-23,9
PSP,Jun-23,8
PSP,Jul-23,8
PSP,Aug-23,8
PSP,Sep-23,8
PSP,Oct-23,8
PSP,Nov-23,6
PSP,Dec-23,9
PSP,Feb-24,8
TDS,Sep-22,8
TDS,Oct-22,8
TDS,Nov-22,9
TDS,Dec-22,8
TDS,Feb-23,9
TDS,Mar-23,8
TDS,Apr-23,8
TDS,May-23,9
TDS,Jun-23,8
TDS,Jul-23,8
TDS,Aug-23,8
TDS,Sep-23,8
TDS,Oct-23,8
WR,Aug-22,8
WR,Sep-22,8
WR,Oct-22,8
WR,Nov-22,7
WR,Dec-22,8
WR,Feb-23,9
WR,Mar-23,7
WR,Apr-23,8
WR,May-23,10
WR,Jun-23,8
WR,Jul-23,8
WR,Aug-23,8
WR,Sep-23,8
WR,Oct-23,8
