"Exact.Site","Month_Year","Order","BIN","Abundnace","PM2.5","n_smoke","precipitation_accumulation_mm","max_relative_humidity_mean","min_relative_humidity_mean","max_air_temperature_mean_K","wind_speed_ms_mean"
"ABUCR","Apr-23","Coleoptera","BOLD:AAA8933",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AAH0445",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AAN6001",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AAN6051",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AAN6124",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AAN6206",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AAP7996",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:ABW6244",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:ABX0641",9,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:ACQ2276",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:ACQ9471",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFK1587",5,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFM8630",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFN5233",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFQ1435",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFQ4567",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFQ5069",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFR5071",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFR5554",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFR6542",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFR7473",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Coleoptera","BOLD:AFU8198",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAA1259",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAA2291",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAA3453",6,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAB2384",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAF6806",8,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG0362",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG0364",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG0365",33,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2317",17,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2327",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2330",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2336",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2337",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2484",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG2740",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG3285",34,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG3286",40,13,0,0,58.05,15.35,283.5625,2.5
