"","Exact.Site","Month_Year","Abundance","Species_Richness","Shannon.Diversity","PM2.5.y","n_smoke","precipitation_accumulation_mm","max_air_temperature_mean_K","wind_speed_ms_mean"
"1","LRVP","Aug-22",403,152,4.36539658371718,7.59999990463257,0,0,292.425,2.4375
"2","WR","Aug-22",1370,468,5.38684167943864,8.80000019073486,0,5.1,292.2125,2.5625
"3","LRVP","Sep-22",82,73,4.23127788439885,10.3000001907349,0,0,289.475,2.6125
"4","TDS","Sep-22",1390,282,3.94039637669195,7.40000009536743,0,0,287.1,2.75
"5","WR","Sep-22",1391,359,4.69195392537593,8.69999980926514,0,0,283.975,3.4125
"6","LRVP","Oct-22",457,128,4.02434419929255,8.39999961853027,0,0.6,290.655555555556,2.03333333333333
"7","TDS","Oct-22",375,172,4.57857671603371,4.80000019073486,0,3.7,284.1625,3.3
"8","WR","Oct-22",2417,479,4.22725251346179,5.90000009536743,0,1.2,286.1375,1.675
"9","ABUCR","Nov-22",576,134,3.65461947938821,9.30000019073486,0,0,281.557142857143,2.94285714285714
"10","LRVP","Nov-22",140,78,4.09172142625272,6.09999990463257,0,37,283.528571428571,4.18571428571429
"11","TDS","Nov-22",218,56,2.79819165461991,3.59999990463257,0,45.8,275.511111111111,4.24444444444444
"12","WR","Nov-22",61,33,3.18195885208863,3.90000009536743,0,96.4,277.585714285714,4.11428571428571
"13","ABUCR","Dec-22",462,140,4.18882996340959,12.1000003814697,0,0,280.875,2.9625
"14","LRVP","Dec-22",112,61,3.80915813818731,6.69999980926514,0,0,282.1375,2.775
"15","TDS","Dec-22",240,75,3.54562974785292,5.90000009536743,0,15.6,274.675,3.5
"16","WR","Dec-22",1212,190,3.51603118827125,5.19999980926514,0,0.4,276.8125,3.1875
"17","ABUCR","Feb-23",825,166,3.86794763319325,8.5,0,0,277.544444444444,2.77777777777778
"18","LRVP","Feb-23",1376,198,3.26394802131383,6.09999990463257,0,0,279,2.65555555555556
"19","PSP","Feb-23",2861,281,3.26992584853983,6.40000009536743,1,0,278.733333333333,2.56666666666667
"20","TDS","Feb-23",703,105,2.35992190720904,6.59999990463257,0,0,276.755555555556,2.96666666666667
"21","WR","Feb-23",1565,235,4.08711972576062,5.40000009536743,0,0.6,274.622222222222,2.92222222222222
"22","ABUCR","Mar-23",624,168,4.34239414066497,10,0,0,278.857142857143,3.21428571428571
